,contrast,dissimilarity,homogeneity,energy
p214-010-60112-cr.png,114786540.5,7254120.5,7679750.380519663,61141.917316363775
p214-010-60112-ml.png,143400319.0,8713888.25,7609642.491243719,59007.614221047435
p214-010-60112-mr.png,112653297.25,7402262.75,7635691.73799289,40835.73069544858
p214-010-60117-cl.png,692384815.25,51541669.25,7857745.862332832,133288.69436279766
p214-010-60117-cr.png,638537961.25,50163357.0,7748070.882477659,140523.85257575684
p214-010-60117-ml.png,495413745.0,40594584.75,8488908.129641958,133277.4604386009
p214-010-60117-mr.png,523759712.75,42293360.25,8287927.37536941,137098.47125238698
p214-010-60120-cl.png,287089655.5,21521492.25,11137566.780208025,69245.70277642313
p214-010-60120-cr.png,244034235.25,19941496.25,11133933.447008688,82540.3284963529
p214-010-60120-ml.png,286338298.0,22992119.75,10725325.302718487,88048.63719232091
p214-010-60120-mr.png,223048220.5,19276136.5,10962016.150700793,80516.88066471342
p214-010-60125-cl.png,124079956.25,11161134.25,12075976.450479805,61562.74036312764
p214-010-60125-cr.png,93372824.25,9054328.25,12227050.1347489,53098.614227029844
p214-010-60125-ml.png,107149696.75,10459261.25,11941110.309700102,69717.52961814994
p214-010-60125-mr.png,89164904.25,8690415.0,12173363.854229104,68366.84712571104
p214-010-60128-cl.png,216942723.0,16286879.5,6543437.766482979,71390.04798992845
p214-010-60128-cr.png,177111951.75,14442378.5,6675508.421231804,62218.50632793491
p214-010-60128-ml.png,172818478.75,13520217.0,6853708.146369563,59042.00658458837
p214-010-60128-mr.png,160764063.25,12272067.0,6954793.3518092,61343.3914871251
p214-010-60133-cl.png,515073466.25,37261171.0,9513029.616679486,99266.016254518
p214-010-60133-cr.png,342159158.25,25272900.25,10809943.334395248,76647.25288314722
p214-010-60133-ml.png,479934789.75,34393805.75,9851353.609821692,93176.44114968782
p214-010-60133-mr.png,357534705.5,24901792.25,10930795.380065305,74395.72754217757
p214-010-60136-cl.png,79503124.25,5992224.0,7682049.934950644,42702.02468170096
p214-010-60136-cr.png,94064378.5,7713019.0,7388883.529535447,47116.8606475532
p214-010-60136-ml.png,120513126.5,9773239.5,7193196.024674501,52820.86126595267
p214-010-60136-mr.png,113124065.25,9943876.0,7043142.140519317,59113.00311867561
p214-010-60140-cl.png,556713665.5,36634949.5,9786216.943277478,83470.59157166103
p214-010-60140-cr.png,473708173.25,32218578.75,10066836.096362226,83319.70029024416
p214-010-60140-ml.png,584223455.25,39113685.75,9490462.220074397,93111.48857124805
p214-010-60140-mr.png,488443182.5,34734457.25,9621907.68233012,102393.21324138208
p214-010-60144-cl.png,600068121.75,38062801.0,9850784.659343807,77454.26652827114
p214-010-60144-cr.png,746333970.25,46034708.5,9219785.331098557,89695.56596883247
p214-010-60144-ml.png,507546929.75,37223490.5,9354069.184683206,92015.59671891012
p214-010-60144-mr.png,620860829.5,44423966.5,8591480.950407542,123367.85079572441
p214-010-60148-cl.png,359755565.0,23840021.75,6077824.110204048,61866.80182585761
p214-010-60148-cr.png,368640900.5,24553798.0,5984805.014875841,61620.95180280086
p214-010-60148-ml.png,354835978.25,23648927.0,6042265.285661615,67903.40985025594
p214-010-60148-mr.png,383229255.0,25290191.0,5882128.029159223,59924.790298318774
p214-010-60153-cl.png,97582773.75,8934263.75,7060613.53914213,63635.263968556596
